9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,13.15,11.3,8.77,5.96,3.01,0,0
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,33.31,31.35,28.66,25.61,22.31,18.77,14.84,11.9,9.03,6.08,3.06,0,0
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,54.19,52.18,49.4,46.26,42.86,39.18,35.09,32.02,28.98,25.83,22.54,19.12,15.63,12.44,9.36,6.27,3.15,0,0
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,78.85,76.84,74.08,70.96,67.61,64.05,60.25,56.03,52.86,49.74,46.49,43.1,39.56,35.95,32.64,29.42,26.17,22.87,19.51,16.15,12.89,9.68,6.47,3.25,0,0
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,100.31,98.23,95.38,92.15,88.65,84.88,80.68,77.52,74.4,71.17,67.79,64.27,60.63,56.91,53.5,50.19,46.86,43.46,40,36.54,33.17,29.87,26.57,23.25,19.91,16.58,13.27,9.99,6.69,3.36,0,0
9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,122.59,120.41,117.42,114.06,110.44,106.54,102.2,98.94,95.73,92.39,88.9,85.27,81.56,78.15,74.84,71.5,68.09,64.61,61.06,57.5,54.05,50.66,47.28,43.87,40.45,37.03,33.65,30.31,26.98,23.64,20.31,16.97,13.64,10.31,6.94,3.51,0,0
9999,9999,9999,9999,9999,150.1,147.77,144.6,141.06,137.31,133.36,129.18,124.58,121.14,117.78,114.31,110.69,106.94,103.11,99.6,96.19,92.77,89.28,85.73,82.16,78.7,75.3,71.9,68.47,65,61.5,58,54.54,51.12,47.71,44.3,40.89,37.48,34.1,30.74,27.39,24.04,20.7,17.35,14.01,10.65,7.23,3.71,0,0
170.71,170.71,166.32,161.86,157.24,152.23,148.53,144.95,141.28,137.49,133.59,129.58,125.52,121.83,118.26,114.69,111.07,107.41,103.74,100.18,96.68,93.2,89.7,86.19,82.67,79.2,75.75,72.32,68.87,65.41,61.93,58.46,55,51.57,48.15,44.73,41.31,37.91,34.52,31.15,27.79,24.43,21.08,17.74,14.39,11.03,7.62,4.06,0,0
170.71,170.71,166.37,162,157.59,153.18,149.2,145.39,141.6,137.78,133.92,130.02,126.14,122.4,118.75,115.13,111.51,107.88,104.26,100.69,97.16,93.66,90.15,86.64,83.14,79.66,76.2,72.74,69.29,65.83,62.36,58.89,55.44,52,48.57,45.15,41.73,38.32,34.93,31.55,28.18,24.82,21.46,18.12,14.79,11.46,8.14,4.87,1.82,0
170.71,170.71,166.46,162.19,157.94,153.73,149.71,145.82,141.97,138.14,134.29,130.45,126.64,122.9,119.22,115.58,111.95,108.34,104.74,101.17,97.63,94.11,90.6,87.09,83.6,80.11,76.64,73.17,69.71,66.24,62.78,59.32,55.87,52.42,48.99,45.56,42.14,38.73,35.32,31.93,28.56,25.19,21.83,18.49,15.17,11.87,8.62,5.47,2.53,0
170.71,170.71,166.54,162.38,158.23,154.13,150.13,146.21,142.34,138.5,134.68,130.87,127.09,123.36,119.67,116.02,112.4,108.79,105.2,101.63,98.08,94.55,91.04,87.53,84.03,80.54,77.06,73.59,70.13,66.66,63.2,59.73,56.28,52.83,49.39,45.96,42.53,39.11,35.71,32.31,28.92,25.55,22.19,18.85,15.53,12.24,9.01,5.87,2.85,0
170.71,170.71,166.63,162.54,158.48,154.45,150.48,146.57,142.7,138.87,135.06,131.27,127.51,123.79,120.1,116.45,112.83,109.22,105.64,102.07,98.52,94.98,91.47,87.96,84.46,80.97,77.48,74.01,70.54,67.07,63.6,60.14,56.68,53.23,49.79,46.35,42.92,39.49,36.08,32.67,29.28,25.89,22.53,19.18,15.85,12.56,9.32,6.14,3.03,0
170.71,170.71,166.7,162.69,158.7,154.73,150.79,146.9,143.04,139.22,135.43,131.66,127.91,124.2,120.52,116.87,113.24,109.64,106.06,102.49,98.94,95.4,91.88,88.38,84.88,81.38,77.89,74.42,70.94,67.47,64.01,60.54,57.08,53.62,50.17,46.73,43.29,39.86,36.44,33.02,29.62,26.22,22.84,19.48,16.14,12.83,9.56,6.33,3.15,0
170.71,170.71,166.77,162.83,158.89,154.97,151.07,147.21,143.37,139.56,135.78,132.03,128.3,124.59,120.92,117.27,113.65,110.05,106.47,102.9,99.35,95.81,92.29,88.78,85.28,81.79,78.3,74.82,71.34,67.87,64.4,60.93,57.47,54.01,50.55,47.1,43.66,40.22,36.79,33.36,29.94,26.54,23.14,19.77,16.41,13.07,9.76,6.48,3.23,0
