Date,Observed,Simulated
15/01/2018,-6.33,-6.39
15/02/2018,-6.43,-6.40
15/03/2018,-6.44,-6.40
15/04/2018,-6.56,-6.42
15/05/2018,-6.60,-6.44
15/06/2018,-6.53,-6.47
15/07/2018,-6.41,-6.47
15/08/2018,-6.30,-6.46
15/09/2018,-6.29,-6.44
15/10/2018,-6.31,-6.42
15/11/2018,-6.43,-6.41
15/12/2018,-6.47,-6.42
15/01/2019,-6.33,-6.43
15/02/2019,-6.35,-6.43
15/03/2019,-6.43,-6.42
15/04/2019,-6.60,-6.43
15/05/2019,-6.59,-6.46
15/06/2019,-6.49,-6.48
15/07/2019,-6.42,-6.48
15/08/2019,-6.30,-6.47
15/09/2019,-6.19,-6.45
15/10/2019,-6.22,-6.42
15/11/2019,-6.28,-6.39
15/12/2019,-6.35,-6.39
15/01/2020,-6.44,-6.40
15/02/2020,-6.42,-6.41
15/03/2020,-6.57,-6.42
15/04/2020,-6.72,-6.45
15/05/2020,-6.80,-6.48
15/06/2020,-6.78,-6.52
15/07/2020,-6.71,-6.55
15/08/2020,-6.64,-6.56
15/09/2020,-6.63,-6.56
15/10/2020,-6.47,-6.56
15/11/2020,-6.49,-6.54
15/12/2020,-6.59,-6.52
