timeStamp,value,clone
1559779200,4.099,4.599
1559865600,4.0858,4.5858
1559952000,4.0458,4.5458
1560038400,4.0538,4.5538
1560124800,4.0142,4.5142
1560211200,3.9662,4.4662
1560297600,3.9154,4.4154
1560384000,3.8942,4.3942
1560470400,3.8892,4.3892
1560556800,3.5108,4.0108
1560643200,3.8025,4.3025
1560729600,3.82,4.32
1560816000,3.8192,4.3192
1560902400,3.8008,4.3008
1560988800,3.8021,4.3021
1561075200,3.8033,4.3033
1561161600,3.7612,4.2612
1561248000,3.7396,4.2396
1561334400,3.7058,4.2058
1561420800,3.7108,4.2108
1561507200,3.6879,4.1879
1561593600,3.67,4.17
1561680000,3.6437,4.1437
1561766400,3.6096,4.1096
1561852800,3.5654,4.0654
1561939200,3.5279,4.0279
1562025600,3.5213,4.0213
1562112000,3.5075,4.0075
1562198400,3.5038,4.0038
1562284800,3.5171,4.0171
1562371200,3.5233,4.0233
1562457600,3.4971,3.9971
1562544000,3.4733,3.9733
1562630400,3.4737,3.9737
1562716800,3.4804,3.9804
1562803200,3.4625,3.9625
1562889600,3.43,3.93
1562976000,3.4648,3.9648
1563062400,3.4997,3.9997
1563148800,3.5345,4.0345
1563235200,3.6033,4.1033
1563321600,3.5667,4.0667
1563408000,3.5342,4.0342
1563494400,3.5158,4.0158
1563580800,3.5179,4.0179
1563667200,3.5104,4.0104
1563753600,3.5158,4.0158
1563840000,3.5417,4.0417
1563926400,3.5096,4.0096
1564012800,3.476,3.976
1564099200,3.4842,3.9842
1564185600,3.4829,3.9829
1564272000,3.465,3.965
1564358400,3.4358,3.9358
1564444800,3.1883,3.6883
1564531200,3.5054,4.0054
1564617600,3.5596,4.0596
1564704000,3.4129,3.9129
1564790400,3.3775,3.8775
1564876800,3.5154,4.0154
1564963200,3.4929,3.9929
1565049600,3.4683,3.9683
1565136000,3.4754,3.9754
1565222400,3.5542,4.0542
1565308800,3.5479,4.0479
1565395200,3.53,4.03
1565481600,3.5487,4.0487
1565568000,3.5488,4.0488
1565654400,3.5621,4.0621
1565740800,3.5729,4.0729
1565827200,3.5817,4.0817
1565913600,3.5467,4.0467
1566000000,3.5333,4.0333
1566086400,3.5175,4.0175
1566172800,3.4917,3.9917
1566259200,3.4971,3.9971
1566345600,3.3763,3.8763
1566432000,3.6246,4.1246
1566518400,3.6546,4.1546
1566604800,3.4779,3.9779
1566691200,3.5667,4.0667
1566777600,3.5337,4.0337
1566864000,3.5021,4.0021
1566950400,3.4958,3.9958
1567036800,3.4912,3.9912
1567123200,3.49,3.99
1567209600,3.4825,3.9825
1567296000,3.4842,3.9842
1567382400,3.4808,3.9808
1567468800,3.5142,4.0142
1567555200,3.5312,4.0312
1567641600,3.5283,4.0283
1567728000,3.0794,3.5794
1567814400,3.48,3.98
1567900800,3.4787,3.9787
1567987200,3.4838,3.9838
1568073600,3.6046,4.1046
1568160000,3.6075,4.1075
1568246400,3.6246,4.1246
1568332800,3.6146,4.1146
1568419200,3.56,4.06
