timeStamp,Days,Datetime,value,clone
1559779200,0,2019-06-06,4.099,4.599
1559865600,1,2019-06-07,4.0858,4.5858
1559952000,2,2019-06-08,4.0458,4.5458
1560038400,3,2019-06-09,4.0538,4.5538
1560124800,4,2019-06-10,4.0142,4.5142
1560211200,5,2019-06-11,3.9662,4.4662
1560297600,6,2019-06-12,3.9154,4.4154
1560384000,7,2019-06-13,3.8942,4.3942
1560470400,8,2019-06-14,3.8892,4.3892
1560556800,9,2019-06-15,3.5108,4.0108
1560643200,10,2019-06-16,3.8025,4.3025
1560729600,11,2019-06-17,3.82,4.32
1560816000,12,2019-06-18,3.8192,4.3192
1560902400,13,2019-06-19,3.8008,4.3008
1560988800,14,2019-06-20,3.8021,4.3021
1561075200,15,2019-06-21,3.8033,4.3033
1561161600,16,2019-06-22,3.7612,4.2612
1561248000,17,2019-06-23,3.7396,4.2396
1561334400,18,2019-06-24,3.7058,4.2058
1561420800,19,2019-06-25,3.7108,4.2108
1561507200,20,2019-06-26,3.6879,4.1879
1561593600,21,2019-06-27,3.67,4.17
1561680000,22,2019-06-28,3.6437,4.1437
1561766400,23,2019-06-29,3.6096,4.1096
1561852800,24,2019-06-30,3.5654,4.0654
1561939200,25,2019-07-01,3.5279,4.0279
1562025600,26,2019-07-02,3.5213,4.0213
1562112000,27,2019-07-03,3.5075,4.0075
1562198400,28,2019-07-04,3.5038,4.0038
1562284800,29,2019-07-05,3.5171,4.0171
1562371200,30,2019-07-06,3.5233,4.0233
1562457600,31,2019-07-07,3.4971,3.9971
1562544000,32,2019-07-08,3.4733,3.9733
1562630400,33,2019-07-09,3.4737,3.9737
1562716800,34,2019-07-10,3.4804,3.9804
1562803200,35,2019-07-11,3.4625,3.9625
1562889600,36,2019-07-12,3.43,3.93
1562976000,37,2019-07-13,3.4648,3.9648
1563062400,38,2019-07-14,3.4997,3.9997
1563148800,39,2019-07-15,3.5345,4.0345
1563235200,40,2019-07-16,3.6033,4.1033
1563321600,41,2019-07-17,3.5667,4.0667
1563408000,42,2019-07-18,3.5342,4.0342
1563494400,43,2019-07-19,3.5158,4.0158
1563580800,44,2019-07-20,3.5179,4.0179
1563667200,45,2019-07-21,3.5104,4.0104
1563753600,46,2019-07-22,3.5158,4.0158
1563840000,47,2019-07-23,3.5417,4.0417
1563926400,48,2019-07-24,3.5096,4.0096
1564012800,49,2019-07-25,3.476,3.976
1564099200,50,2019-07-26,3.4842,3.9842
1564185600,51,2019-07-27,3.4829,3.9829
1564272000,52,2019-07-28,3.465,3.965
1564358400,53,2019-07-29,3.4358,3.9358
1564444800,54,2019-07-30,3.1883,3.6883
1564531200,55,2019-07-31,3.5054,4.0054
1564617600,56,2019-08-01,3.5596,4.0596
1564704000,57,2019-08-02,3.4129,3.9129
1564790400,58,2019-08-03,3.3775,3.8775
1564876800,59,2019-08-04,3.5154,4.0154
1564963200,60,2019-08-05,3.4929,3.9929
1565049600,61,2019-08-06,3.4683,3.9683
1565136000,62,2019-08-07,3.4754,3.9754
1565222400,63,2019-08-08,3.5542,4.0542
1565308800,64,2019-08-09,3.5479,4.0479
1565395200,65,2019-08-10,3.53,4.03
1565481600,66,2019-08-11,3.5487,4.0487
1565568000,67,2019-08-12,3.5488,4.0488
1565654400,68,2019-08-13,3.5621,4.0621
1565740800,69,2019-08-14,3.5729,4.0729
1565827200,70,2019-08-15,3.5817,4.0817
1565913600,71,2019-08-16,3.5467,4.0467
1566000000,72,2019-08-17,3.5333,4.0333
1566086400,73,2019-08-18,3.5175,4.0175
1566172800,74,2019-08-19,3.4917,3.9917
1566259200,75,2019-08-20,3.4971,3.9971
1566345600,76,2019-08-21,3.3763,3.8763
1566432000,77,2019-08-22,3.6246,4.1246
1566518400,78,2019-08-23,3.6546,4.1546
1566604800,79,2019-08-24,3.4779,3.9779
1566691200,80,2019-08-25,3.5667,4.0667
1566777600,81,2019-08-26,3.5337,4.0337
1566864000,82,2019-08-27,3.5021,4.0021
1566950400,83,2019-08-28,3.4958,3.9958
1567036800,84,2019-08-29,3.4912,3.9912
1567123200,85,2019-08-30,3.49,3.99
1567209600,86,2019-08-31,3.4825,3.9825
1567296000,87,2019-09-01,3.4842,3.9842
1567382400,88,2019-09-02,3.4808,3.9808
1567468800,89,2019-09-03,3.5142,4.0142
1567555200,90,2019-09-04,3.5312,4.0312
1567641600,91,2019-09-05,3.5283,4.0283
1567728000,92,2019-09-06,3.0794,3.5794
1567814400,93,2019-09-07,3.48,3.98
1567900800,94,2019-09-08,3.4787,3.9787
1567987200,95,2019-09-09,3.4838,3.9838
1568073600,96,2019-09-10,3.6046,4.1046
1568160000,97,2019-09-11,3.6075,4.1075
1568246400,98,2019-09-12,3.6246,4.1246
1568332800,99,2019-09-13,3.6146,4.1146
1568419200,100,2019-09-14,3.56,4.06
1568505600,101,2019-09-15,3.385,3.885
1568592000,102,2019-09-16,3.0072,3.5072
1568678400,103,2019-09-17,3.4983,3.9983
1568764800,104,2019-09-18,3.5067,4.0067
1568851200,105,2019-09-19,3.4933,3.9933
1568937600,106,2019-09-20,3.49,3.99
1569024000,107,2019-09-21,3.49,3.99
1569110400,108,2019-09-22,3.4804,3.9804
1569196800,109,2019-09-23,3.4658,3.9658
1569283200,110,2019-09-24,3.44,3.94
1569369600,111,2019-09-25,3.4571,3.9571
1569456000,112,2019-09-26,3.357,3.857
1569542400,113,2019-09-27,3.5433,4.0433
1569628800,114,2019-09-28,3.52,4.02
1569715200,115,2019-09-29,3.3679,3.8679
1569801600,116,2019-09-30,3.5054,4.0054
1569888000,117,2019-10-01,3.5308,4.0308
1569974400,118,2019-10-02,3.4562,3.9562
1570060800,119,2019-10-03,3.3804,3.8804
1570147200,120,2019-10-04,3.7279,4.2279
1570233600,121,2019-10-05,3.4629,3.9629
1570320000,122,2019-10-06,3.8237,4.3237
1570406400,123,2019-10-07,3.845,4.345
1570492800,124,2019-10-08,3.8846,4.3846
1570579200,125,2019-10-09,3.9492,4.4492
1570665600,126,2019-10-10,4.0063,4.5063
1570752000,127,2019-10-11,4.0429,4.5429
1570838400,128,2019-10-12,4.0746,4.5746
1570924800,129,2019-10-13,4.0888,4.5888
1571011200,130,2019-10-14,4.0675,4.5675
1571097600,131,2019-10-15,4.0525,4.5525
1571184000,132,2019-10-16,3.5321,4.0321
1571270400,133,2019-10-17,4.0329,4.5329
1571356800,134,2019-10-18,4.03,4.53
1571443200,135,2019-10-19,4.0025,4.5025
